Date_x,season,HomeTeam_x,AwayTeam_x,FTR,AvgH,AvgD,AvgA,Date_y,HomeTeam_y,AwayTeam_y,home_points_last5,home_gf_last5,home_ga_last5,home_rest_days,away_points_last5,away_gf_last5,away_ga_last5,away_rest_days
2015-09-20,2015/2016,Academica,Boavista,A,,,,2015-09-20,Academica,Boavista,0.0,1.0,10.0,7.0,4.0,3.0,7.0,6.0
2015-09-20,2015/2016,Porto,Benfica,H,,,,2015-09-20,Porto,Benfica,10.0,9.0,2.0,8.0,9.0,13.0,3.0,9.0
2015-09-20,2015/2016,Uniao Madeira,Arouca,D,,,,2015-09-20,Uniao Madeira,Arouca,5.0,2.0,2.0,7.0,7.0,5.0,4.0,8.0
2015-09-21,2015/2016,Belenenses,Moreirense,H,,,,2015-09-21,Belenenses,Moreirense,3.0,5.0,11.0,10.0,1.0,2.0,7.0,8.0
2015-09-21,2015/2016,Sp Braga,Maritimo,H,,,,2015-09-21,Sp Braga,Maritimo,6.0,6.0,3.0,9.0,5.0,8.0,6.0,8.0
2015-09-21,2015/2016,Sp Lisbon,Nacional,H,,,,2015-09-21,Sp Lisbon,Nacional,10.0,8.0,4.0,8.0,6.0,4.0,3.0,8.0
2015-09-25,2015/2016,Moreirense,Porto,D,,,,2015-09-25,Moreirense,Porto,1.0,2.0,9.0,4.0,13.0,10.0,2.0,5.0
2015-09-26,2015/2016,Benfica,Pacos Ferreira,H,,,,2015-09-26,Benfica,Pacos Ferreira,9.0,13.0,4.0,6.0,8.0,4.0,5.0,7.0
2015-09-26,2015/2016,Boavista,Sp Lisbon,D,,,,2015-09-26,Boavista,Sp Lisbon,7.0,5.0,7.0,6.0,13.0,9.0,4.0,5.0
2015-09-27,2015/2016,Arouca,Belenenses,D,,,,2015-09-27,Arouca,Belenenses,8.0,5.0,4.0,7.0,6.0,7.0,11.0,6.0
2015-09-27,2015/2016,Estoril,Uniao Madeira,H,,,,2015-09-27,Estoril,Uniao Madeira,9.0,4.0,6.0,8.0,6.0,2.0,2.0,7.0
2015-09-27,2015/2016,Guimaraes,Sp Braga,A,,,,2015-09-27,Guimaraes,Sp Braga,6.0,4.0,6.0,9.0,9.0,11.0,4.0,6.0
2015-09-27,2015/2016,Maritimo,Tondela,H,,,,2015-09-27,Maritimo,Tondela,5.0,9.0,11.0,6.0,3.0,2.0,5.0,8.0
2015-09-27,2015/2016,Nacional,Setubal,D,,,,2015-09-27,Nacional,Setubal,6.0,4.0,4.0,6.0,6.0,12.0,11.0,9.0
2015-09-28,2015/2016,Rio Ave,Academica,H,,,,2015-09-28,Rio Ave,Academica,8.0,10.0,7.0,9.0,0.0,1.0,12.0,8.0
2015-10-02,2015/2016,Setubal,Estoril,H,,,,2015-10-02,Setubal,Estoril,6.0,11.0,10.0,5.0,12.0,6.0,3.0,5.0
2015-10-03,2015/2016,Academica,Maritimo,H,,,,2015-10-03,Academica,Maritimo,0.0,1.0,12.0,5.0,8.0,9.0,9.0,6.0
2015-10-03,2015/2016,Pacos Ferreira,Nacional,H,,,,2015-10-03,Pacos Ferreira,Nacional,5.0,3.0,8.0,7.0,7.0,4.0,3.0,6.0
2015-10-03,2015/2016,Rio Ave,Boavista,H,,,,2015-10-03,Rio Ave,Boavista,10.0,8.0,4.0,5.0,7.0,3.0,5.0,7.0
2015-10-03,2015/2016,Tondela,Moreirense,D,,,,2015-10-03,Tondela,Moreirense,3.0,1.0,4.0,6.0,2.0,4.0,9.0,8.0
2015-10-04,2015/2016,Porto,Belenenses,H,,,,2015-10-04,Porto,Belenenses,11.0,9.0,4.0,9.0,6.0,6.0,10.0,7.0
2015-10-04,2015/2016,Sp Braga,Arouca,D,,,,2015-10-04,Sp Braga,Arouca,9.0,10.0,3.0,7.0,6.0,5.0,6.0,7.0
2015-10-04,2015/2016,Sp Lisbon,Guimaraes,H,,,,2015-10-04,Sp Lisbon,Guimaraes,11.0,7.0,3.0,8.0,6.0,4.0,4.0,7.0
2015-10-23,2015/2016,Nacional,Boavista,D,,,,2015-10-23,Nacional,Boavista,4.0,4.0,6.0,20.0,4.0,2.0,6.0,20.0
